RC_C0,RC_C1,RC_C2,RC_C3,RC_C4,RC_C5,RC_C6,RC_C7,RC_C8,RC_C9,RC_C10,RC_C11,RC_RSSI,RC_CNT,RC_Lost,RC_Drop
-0.028368793427944183,0.14352941513061523,0.0,0.0,-1.0,0.07565011829137802,-0.3113207519054413,-0.09456264972686768,-1.0,-1.0,-1.0,-1.0,46,18,0,0.0
-0.028368793427944183,0.14352941513061523,0.0,0.0,-1.0,0.07801418751478195,-0.3113207519054413,-0.09456264972686768,-1.0,-1.0,-1.0,-1.0,46,18,0,0.0
-0.028368793427944183,0.14588235318660736,0.0,0.0,-1.0,0.07565011829137802,-0.3113207519054413,-0.09456264972686768,-1.0,-1.0,-1.0,-1.0,46,18,0,0.0
-0.028368793427944183,0.14352941513061523,0.0,0.0,-1.0,0.07801418751478195,-0.3113207519054413,-0.09456264972686768,-1.0,-1.0,-1.0,-1.0,46,18,0,0.0
-0.028368793427944183,0.14588235318660736,0.0,0.0,-1.0,0.07565011829137802,-0.3113207519054413,-0.09456264972686768,-1.0,-1.0,-1.0,-1.0,46,18,0,0.0
-0.028368793427944183,0.14352941513061523,0.0,0.0,-1.0,0.07565011829137802,-0.3113207519054413,-0.09456264972686768,-1.0,-1.0,-1.0,-1.0,46,18,0,0.0
-0.028368793427944183,0.14352941513061523,0.0,0.0,-1.0,0.07801418751478195,-0.3113207519054413,-0.09456264972686768,-1.0,-1.0,-1.0,-1.0,46,18,0,0.0
-0.028368793427944183,0.14352941513061523,0.0,0.0,-1.0,0.07801418751478195,-0.3113207519054413,-0.09456264972686768,-1.0,-1.0,-1.0,-1.0,46,18,0,0.0
-0.028368793427944183,0.14352941513061523,0.0,0.0,-1.0,0.07565011829137802,-0.3113207519054413,-0.09456264972686768,-1.0,-1.0,-1.0,-1.0,46,18,0,0.0
-0.028368793427944183,0.14352941513061523,0.0,0.0,-1.0,0.07565011829137802,-0.3113207519054413,-0.09456264972686768,-1.0,-1.0,-1.0,-1.0,46,18,0,0.0
-0.028368793427944183,0.14352941513061523,0.0,0.0,-1.0,0.07565011829137802,-0.3113207519054413,-0.09456264972686768,-1.0,-1.0,-1.0,-1.0,46,18,0,0.0
-0.028368793427944183,0.14352941513061523,0.0,0.0,-1.0,0.07565011829137802,-0.3113207519054413,-0.09456264972686768,-1.0,-1.0,-1.0,-1.0,46,18,0,0.0
-0.028368793427944183,0.14588235318660736,0.0,0.0,-1.0,0.07565011829137802,-0.3113207519054413,-0.09456264972686768,-1.0,-1.0,-1.0,-1.0,46,18,0,0.0
-0.028368793427944183,0.14352941513061523,0.0,0.0,-1.0,0.07801418751478195,-0.3113207519054413,-0.09456264972686768,-1.0,-1.0,-1.0,-1.0,46,18,0,0.0
-0.028368793427944183,0.14352941513061523,0.0,0.0,-1.0,0.07565011829137802,-0.3113207519054413,-0.09456264972686768,-1.0,-1.0,-1.0,-1.0,46,18,0,0.0
-0.028368793427944183,0.14352941513061523,0.0,0.0,-1.0,0.07565011829137802,-0.3113207519054413,-0.09456264972686768,-1.0,-1.0,-1.0,-1.0,46,18,0,0.0
-0.028368793427944183,0.14352941513061523,0.0,0.0,-1.0,0.07565011829137802,-0.3113207519054413,-0.09456264972686768,-1.0,-1.0,-1.0,-1.0,46,18,0,0.0
-0.028368793427944183,0.14352941513061523,0.0,0.0,-1.0,0.07565011829137802,-0.3113207519054413,-0.09456264972686768,-1.0,-1.0,-1.0,-1.0,46,18,0,0.0
-0.028368793427944183,0.1411764770746231,0.0,0.0,-1.0,0.07801418751478195,-0.3113207519054413,-0.09456264972686768,-1.0,-1.0,-1.0,-1.0,46,18,0,0.0
-0.028368793427944183,0.14588235318660736,0.0,0.0,-1.0,0.07565011829137802,-0.3113207519054413,-0.09456264972686768,-1.0,-1.0,-1.0,-1.0,46,18,0,0.0
-0.028368793427944183,0.14588235318660736,0.0,0.0,-1.0,0.07565011829137802,-0.3113207519054413,-0.09456264972686768,-1.0,-1.0,-1.0,-1.0,46,18,0,0.0
-0.028368793427944183,0.14352941513061523,0.0,0.0,-1.0,0.07565011829137802,-0.3113207519054413,-0.09456264972686768,-1.0,-1.0,-1.0,-1.0,46,18,0,0.0
-0.02600472792983055,0.14352941513061523,0.0,0.0,-1.0,0.07801418751478195,-0.3113207519054413,-0.09456264972686768,-1.0,-1.0,-1.0,-1.0,46,18,0,0.0
-0.028368793427944183,0.14352941513061523,0.0,0.0,-1.0,0.07801418751478195,-0.3113207519054413,-0.09456264972686768,-1.0,-1.0,-1.0,-1.0,46,18,0,0.0
-0.028368793427944183,0.14352941513061523,0.0,0.0,-1.0,0.07565011829137802,-0.3113207519054413,-0.09456264972686768,-1.0,-1.0,-1.0,-1.0,46,18,0,0.0
-0.028368793427944183,0.14352941513061523,0.0,0.0,-1.0,0.07801418751478195,-0.3113207519054413,-0.09456264972686768,-1.0,-1.0,-1.0,-1.0,46,18,0,0.0
-0.028368793427944183,0.14352941513061523,0.0,0.0,-1.0,0.07565011829137802,-0.3113207519054413,-0.09456264972686768,-1.0,-1.0,-1.0,-1.0,46,18,0,0.0
-0.028368793427944183,0.14352941513061523,0.0,0.0,-1.0,0.07565011829137802,-0.3113207519054413,-0.09456264972686768,-1.0,-1.0,-1.0,-1.0,46,18,0,0.0
-0.028368793427944183,0.14352941513061523,0.0,0.0,-1.0,0.07565011829137802,-0.3113207519054413,-0.09456264972686768,-1.0,-1.0,-1.0,-1.0,46,18,0,0.0
-0.028368793427944183,0.14352941513061523,0.0,0.0,-1.0,0.07565011829137802,-0.3113207519054413,-0.09456264972686768,-1.0,-1.0,-1.0,-1.0,46,18,0,0.0
-0.028368793427944183,0.14352941513061523,0.0,0.0,-1.0,0.07565011829137802,-0.3113207519054413,-0.09456264972686768,-1.0,-1.0,-1.0,-1.0,46,18,0,0.0
-0.028368793427944183,0.14352941513061523,0.0,0.0,-1.0,0.07565011829137802,-0.3113207519054413,-0.09456264972686768,-1.0,-1.0,-1.0,-1.0,46,18,0,0.0
-0.028368793427944183,0.14352941513061523,0.0,0.0,-1.0,0.07565011829137802,-0.3113207519054413,-0.09456264972686768,-1.0,-1.0,-1.0,-1.0,46,18,0,0.0
-0.028368793427944183,0.14352941513061523,0.0,0.0,-1.0,0.07565011829137802,-0.3113207519054413,-0.09456264972686768,-1.0,-1.0,-1.0,-1.0,46,18,0,0.0
-0.028368793427944183,0.14352941513061523,0.0,0.0,-1.0,0.07565011829137802,-0.3113207519054413,-0.09456264972686768,-1.0,-1.0,-1.0,-1.0,46,18,0,0.0
-0.028368793427944183,0.14588235318660736,0.0,0.0,-1.0,0.07801418751478195,-0.3066037595272064,-0.09456264972686768,-1.0,-1.0,-1.0,-1.0,46,18,0,0.0
-0.028368793427944183,0.14352941513061523,0.0,0.0,-1.0,0.07565011829137802,-0.3113207519054413,-0.09456264972686768,-1.0,-1.0,-1.0,-1.0,46,18,0,0.0
-0.028368793427944183,0.14352941513061523,0.0,0.0,-1.0,0.07565011829137802,-0.3113207519054413,-0.09456264972686768,-1.0,-1.0,-1.0,-1.0,46,18,0,0.0
-0.028368793427944183,0.14588235318660736,0.0,0.0,-1.0,0.07565011829137802,-0.3113207519054413,-0.09456264972686768,-1.0,-1.0,-1.0,-1.0,46,18,0,0.0
-0.028368793427944183,0.14352941513061523,0.0,0.0,-1.0,0.07801418751478195,-0.3113207519054413,-0.09456264972686768,-1.0,-1.0,-1.0,-1.0,46,18,0,0.0
-0.028368793427944183,0.14352941513061523,0.0,0.0,-1.0,0.07801418751478195,-0.3113207519054413,-0.09456264972686768,-1.0,-1.0,-1.0,-1.0,46,18,0,0.0
-0.028368793427944183,0.14588235318660736,0.0,0.0,-1.0,0.07565011829137802,-0.3113207519054413,-0.09456264972686768,-1.0,-1.0,-1.0,-1.0,46,18,0,0.0
-0.02600472792983055,0.14352941513061523,0.0,0.0,-1.0,0.07801418751478195,-0.3113207519054413,-0.09456264972686768,-1.0,-1.0,-1.0,-1.0,46,18,0,0.0
-0.028368793427944183,0.14352941513061523,0.0,0.0,-1.0,0.07801418751478195,-0.3113207519054413,-0.09456264972686768,-1.0,-1.0,-1.0,-1.0,46,18,0,0.0
-0.028368793427944183,0.14352941513061523,0.0,0.0,-1.0,0.07565011829137802,-0.3113207519054413,-0.09456264972686768,-1.0,-1.0,-1.0,-1.0,46,18,0,0.0
-0.028368793427944183,0.14352941513061523,0.0,0.0,-1.0,0.07565011829137802,-0.3113207519054413,-0.09456264972686768,-1.0,-1.0,-1.0,-1.0,46,18,0,0.0
-0.028368793427944183,0.14352941513061523,0.0,0.0,-1.0,0.07565011829137802,-0.3113207519054413,-0.09456264972686768,-1.0,-1.0,-1.0,-1.0,46,18,0,0.0
-0.028368793427944183,0.14352941513061523,0.0,0.0,-1.0,0.07565011829137802,-0.3113207519054413,-0.09456264972686768,-1.0,-1.0,-1.0,-1.0,46,18,0,0.0
-0.028368793427944183,0.14352941513061523,0.0,0.0,-1.0,0.07565011829137802,-0.3113207519054413,-0.09456264972686768,-1.0,-1.0,-1.0,-1.0,46,18,0,0.0
-0.028368793427944183,0.14352941513061523,0.0,0.0,-1.0,0.07565011829137802,-0.3113207519054413,-0.09456264972686768,-1.0,-1.0,-1.0,-1.0,46,18,0,0.0
-0.028368793427944183,0.14588235318660736,0.0,0.0,-1.0,0.07565011829137802,-0.3113207519054413,-0.09456264972686768,-1.0,-1.0,-1.0,-1.0,0,18,0,0.0
-0.028368793427944183,0.14588235318660736,0.0,0.0,-1.0,0.07565011829137802,-0.3113207519054413,-0.09456264972686768,-1.0,-1.0,-1.0,-1.0,46,18,0,0.0
-0.028368793427944183,0.14352941513061523,0.0,0.0,-1.0,0.07801418751478195,-0.3113207519054413,-0.09456264972686768,-1.0,-1.0,-1.0,-1.0,46,18,0,0.0
-0.028368793427944183,0.14352941513061523,0.0,0.0,-1.0,0.07565011829137802,-0.3113207519054413,-0.09456264972686768,-1.0,-1.0,-1.0,-1.0,46,18,0,0.0
-0.028368793427944183,0.14352941513061523,0.0,0.0,-1.0,0.07565011829137802,-0.3113207519054413,-0.09456264972686768,-1.0,-1.0,-1.0,-1.0,46,18,0,0.0
-0.028368793427944183,0.14352941513061523,0.0,0.0,-1.0,0.07565011829137802,-0.3113207519054413,-0.09456264972686768,-1.0,-1.0,-1.0,-1.0,46,18,0,0.0
-0.028368793427944183,0.14588235318660736,0.0,0.0,-1.0,0.07565011829137802,-0.3113207519054413,-0.09456264972686768,-1.0,-1.0,-1.0,-1.0,46,18,0,0.0
-0.028368793427944183,0.14352941513061523,0.0,0.0,-1.0,0.07565011829137802,-0.3113207519054413,-0.09456264972686768,-1.0,-1.0,-1.0,-1.0,46,18,0,0.0
-0.028368793427944183,0.14352941513061523,0.0,0.0,-1.0,0.07565011829137802,-0.3113207519054413,-0.09456264972686768,-1.0,-1.0,-1.0,-1.0,46,18,0,0.0
-0.028368793427944183,0.14352941513061523,0.0,0.0,-1.0,0.07801418751478195,-0.3113207519054413,-0.09456264972686768,-1.0,-1.0,-1.0,-1.0,46,18,0,0.0
-0.028368793427944183,0.14352941513061523,0.0,0.0,-1.0,0.07565011829137802,-0.3113207519054413,-0.09456264972686768,-1.0,-1.0,-1.0,-1.0,46,18,0,0.0
-0.028368793427944183,0.14352941513061523,0.0,0.0,-1.0,0.07801418751478195,-0.3113207519054413,-0.09456264972686768,-1.0,-1.0,-1.0,-1.0,46,18,0,0.0
-0.028368793427944183,0.14352941513061523,0.0,0.0,-1.0,0.07565011829137802,-0.3113207519054413,-0.09456264972686768,-1.0,-1.0,-1.0,-1.0,46,18,0,0.0
-0.028368793427944183,0.14588235318660736,0.0,0.0,-1.0,0.07801418751478195,-0.3113207519054413,-0.09456264972686768,-1.0,-1.0,-1.0,-1.0,46,18,0,0.0
-0.028368793427944183,0.14352941513061523,0.0,0.0,-1.0,0.07565011829137802,-0.3113207519054413,-0.09456264972686768,-1.0,-1.0,-1.0,-1.0,46,18,0,0.0
-0.028368793427944183,0.14352941513061523,0.0,0.0,-1.0,0.07801418751478195,-0.3113207519054413,-0.09456264972686768,-1.0,-1.0,-1.0,-1.0,46,18,0,0.0
-0.028368793427944183,0.14352941513061523,0.0,0.0,-1.0,0.07565011829137802,-0.3113207519054413,-0.09456264972686768,-1.0,-1.0,-1.0,-1.0,46,18,0,0.0
-0.028368793427944183,0.14352941513061523,0.0,0.0,-1.0,0.07565011829137802,-0.3113207519054413,-0.09456264972686768,-1.0,-1.0,-1.0,-1.0,46,18,0,0.0
-0.02600472792983055,0.14352941513061523,0.0,0.0,-1.0,0.07801418751478195,-0.3113207519054413,-0.09456264972686768,-1.0,-1.0,-1.0,-1.0,46,18,0,0.0
-0.028368793427944183,0.14352941513061523,0.0,0.0,-1.0,0.07565011829137802,-0.3113207519054413,-0.09456264972686768,-1.0,-1.0,-1.0,-1.0,46,18,0,0.0
-0.028368793427944183,0.14352941513061523,0.0,0.0,-1.0,0.07565011829137802,-0.3113207519054413,-0.09456264972686768,-1.0,-1.0,-1.0,-1.0,46,18,0,0.0
-0.028368793427944183,0.14352941513061523,0.0,0.0,-1.0,0.07565011829137802,-0.3113207519054413,-0.09456264972686768,-1.0,-1.0,-1.0,-1.0,46,18,0,0.0
-0.028368793427944183,0.14352941513061523,0.0,0.0,-1.0,0.07801418751478195,-0.3113207519054413,-0.09456264972686768,-1.0,-1.0,-1.0,-1.0,46,18,0,0.0
-0.028368793427944183,0.14352941513061523,0.0,0.0,-1.0,0.07565011829137802,-0.3113207519054413,-0.09456264972686768,-1.0,-1.0,-1.0,-1.0,46,18,0,0.0
-0.028368793427944183,0.14352941513061523,0.0,0.0,-1.0,0.07565011829137802,-0.3113207519054413,-0.09456264972686768,-1.0,-1.0,-1.0,-1.0,46,18,0,0.0
-0.028368793427944183,0.14352941513061523,0.0,0.0,-1.0,0.07565011829137802,-0.3113207519054413,-0.09456264972686768,-1.0,-1.0,-1.0,-1.0,46,18,0,0.0
-0.028368793427944183,0.14352941513061523,0.0,0.0,-1.0,0.07801418751478195,-0.3113207519054413,-0.09456264972686768,-1.0,-1.0,-1.0,-1.0,46,18,0,0.0
-0.028368793427944183,0.14588235318660736,0.0,0.0,-1.0,0.07565011829137802,-0.3113207519054413,-0.09456264972686768,-1.0,-1.0,-1.0,-1.0,46,18,0,0.0
-0.028368793427944183,0.14352941513061523,0.0,0.0,-1.0,0.07565011829137802,-0.3113207519054413,-0.09456264972686768,-1.0,-1.0,-1.0,-1.0,46,18,0,0.0
-0.028368793427944183,0.14352941513061523,0.0,0.0,-1.0,0.07801418751478195,-0.3113207519054413,-0.09456264972686768,-1.0,-1.0,-1.0,-1.0,46,18,0,0.0
-0.028368793427944183,0.14352941513061523,0.0,0.0,-1.0,0.07801418751478195,-0.3113207519054413,-0.09456264972686768,-1.0,-1.0,-1.0,-1.0,46,18,0,0.0
-0.028368793427944183,0.14352941513061523,0.0,0.0,-1.0,0.07565011829137802,-0.3113207519054413,-0.09456264972686768,-1.0,-1.0,-1.0,-1.0,46,18,0,0.0
-0.028368793427944183,0.14352941513061523,0.0,0.0,-1.0,0.07801418751478195,-0.3113207519054413,-0.09456264972686768,-1.0,-1.0,-1.0,-1.0,46,18,0,0.0
-0.028368793427944183,0.14352941513061523,0.0,0.0,-1.0,0.07801418751478195,-0.3113207519054413,-0.09456264972686768,-1.0,-1.0,-1.0,-1.0,46,18,0,0.0
-0.028368793427944183,0.14352941513061523,0.0,0.0,-1.0,0.07565011829137802,-0.3113207519054413,-0.09456264972686768,-1.0,-1.0,-1.0,-1.0,46,18,0,0.0
-0.028368793427944183,0.14588235318660736,0.0,0.0,-1.0,0.07565011829137802,-0.3113207519054413,-0.09456264972686768,-1.0,-1.0,-1.0,-1.0,46,18,0,0.0
-0.028368793427944183,0.14352941513061523,0.0,0.0,-1.0,0.07801418751478195,-0.3113207519054413,-0.09456264972686768,-1.0,-1.0,-1.0,-1.0,46,18,0,0.0
-0.028368793427944183,0.14588235318660736,0.0,0.0,-1.0,0.07565011829137802,-0.3113207519054413,-0.09456264972686768,-1.0,-1.0,-1.0,-1.0,46,18,0,0.0
-0.028368793427944183,0.14352941513061523,0.0,0.0,-1.0,0.07565011829137802,-0.3113207519054413,-0.09456264972686768,-1.0,-1.0,-1.0,-1.0,46,18,0,0.0
-0.028368793427944183,0.14352941513061523,0.0,0.0,-1.0,0.07565011829137802,-0.3113207519054413,-0.09456264972686768,-1.0,-1.0,-1.0,-1.0,46,18,0,0.0
-0.028368793427944183,0.14352941513061523,0.0,0.0,-1.0,0.07565011829137802,-0.3113207519054413,-0.09456264972686768,-1.0,-1.0,-1.0,-1.0,46,18,0,0.0
-0.028368793427944183,0.14352941513061523,0.0,0.0,-1.0,0.07565011829137802,-0.3113207519054413,-0.09456264972686768,-1.0,-1.0,-1.0,-1.0,46,18,0,0.0
-0.028368793427944183,0.14352941513061523,0.0,0.0,-1.0,0.07565011829137802,-0.3113207519054413,-0.09456264972686768,-1.0,-1.0,-1.0,-1.0,46,18,0,0.0
-0.028368793427944183,0.14352941513061523,0.0,0.0,-1.0,0.07565011829137802,-0.3113207519054413,-0.09456264972686768,-1.0,-1.0,-1.0,-1.0,46,18,0,0.0
-0.028368793427944183,0.14352941513061523,0.0,0.0,-1.0,0.07565011829137802,-0.3113207519054413,-0.09456264972686768,-1.0,-1.0,-1.0,-1.0,46,18,0,0.0
-0.028368793427944183,0.14352941513061523,0.0,0.0,-1.0,0.07565011829137802,-0.3113207519054413,-0.09456264972686768,-1.0,-1.0,-1.0,-1.0,46,18,0,0.0
-0.028368793427944183,0.14352941513061523,0.0,0.0,-1.0,0.07565011829137802,-0.3113207519054413,-0.09456264972686768,-1.0,-1.0,-1.0,-1.0,46,18,0,0.0
-0.028368793427944183,0.14352941513061523,0.0,0.0,-1.0,0.07565011829137802,-0.3113207519054413,-0.09456264972686768,-1.0,-1.0,-1.0,-1.0,46,18,0,0.0
-0.028368793427944183,0.14588235318660736,0.0,0.0,-1.0,0.07801418751478195,-0.3113207519054413,-0.09456264972686768,-1.0,-1.0,-1.0,-1.0,46,18,0,0.0
-0.028368793427944183,0.14352941513061523,0.0,0.0,-1.0,0.07565011829137802,-0.3113207519054413,-0.09456264972686768,-1.0,-1.0,-1.0,-1.0,46,18,0,0.0
-0.028368793427944183,0.14352941513061523,0.0,0.0,-1.0,0.07565011829137802,-0.3113207519054413,-0.09456264972686768,-1.0,-1.0,-1.0,-1.0,46,18,0,0.0
-0.028368793427944183,0.14352941513061523,0.0,0.0,-1.0,0.07801418751478195,-0.3113207519054413,-0.09456264972686768,-1.0,-1.0,-1.0,-1.0,46,18,0,0.0
-0.028368793427944183,0.14352941513061523,0.0,0.0,-1.0,0.07801418751478195,-0.3113207519054413,-0.09456264972686768,-1.0,-1.0,-1.0,-1.0,46,18,0,0.0
-0.028368793427944183,0.14352941513061523,0.0,0.0,-1.0,0.07565011829137802,-0.3113207519054413,-0.09456264972686768,-1.0,-1.0,-1.0,-1.0,46,18,0,0.0
-0.028368793427944183,0.14352941513061523,0.0,0.0,-1.0,0.07801418751478195,-0.3113207519054413,-0.09456264972686768,-1.0,-1.0,-1.0,-1.0,0,18,0,0.0
-0.028368793427944183,0.14352941513061523,0.0,0.0,-1.0,0.07801418751478195,-0.3113207519054413,-0.09456264972686768,-1.0,-1.0,-1.0,-1.0,46,18,0,0.0
-0.028368793427944183,0.14352941513061523,0.0,0.0,-1.0,0.07565011829137802,-0.3113207519054413,-0.09456264972686768,-1.0,-1.0,-1.0,-1.0,46,18,0,0.0
-0.028368793427944183,0.14352941513061523,0.0,0.0,-1.0,0.07565011829137802,-0.3113207519054413,-0.09456264972686768,-1.0,-1.0,-1.0,-1.0,46,18,0,0.0
-0.028368793427944183,0.14352941513061523,0.0,0.0,-1.0,0.07565011829137802,-0.3113207519054413,-0.09456264972686768,-1.0,-1.0,-1.0,-1.0,46,18,0,0.0
-0.028368793427944183,0.14352941513061523,0.0,0.0,-1.0,0.07565011829137802,-0.3113207519054413,-0.09456264972686768,-1.0,-1.0,-1.0,-1.0,46,18,0,0.0
-0.028368793427944183,0.14352941513061523,0.0,0.0,-1.0,0.07328604906797409,-0.3113207519054413,-0.09456264972686768,-1.0,-1.0,-1.0,-1.0,46,18,0,0.0
-0.028368793427944183,0.14352941513061523,0.0,0.0,-1.0,0.07565011829137802,-0.3113207519054413,-0.09456264972686768,-1.0,-1.0,-1.0,-1.0,46,18,0,0.0
-0.028368793427944183,0.14352941513061523,0.0,0.0,-1.0,0.07565011829137802,-0.3113207519054413,-0.09456264972686768,-1.0,-1.0,-1.0,-1.0,46,18,0,0.0
-0.028368793427944183,0.14352941513061523,0.0,0.0,-1.0,0.07565011829137802,-0.3113207519054413,-0.09456264972686768,-1.0,-1.0,-1.0,-1.0,46,18,0,0.0
-0.028368793427944183,0.14352941513061523,0.0,0.0,-1.0,0.07565011829137802,-0.3113207519054413,-0.09456264972686768,-1.0,-1.0,-1.0,-1.0,46,18,0,0.0
-0.028368793427944183,0.14352941513061523,0.0,0.0,-1.0,0.07801418751478195,-0.3113207519054413,-0.09456264972686768,-1.0,-1.0,-1.0,-1.0,46,18,0,0.0
-0.028368793427944183,0.14352941513061523,0.0,0.0,-1.0,0.07801418751478195,-0.3113207519054413,-0.09456264972686768,-1.0,-1.0,-1.0,-1.0,46,18,0,0.0
-0.028368793427944183,0.14352941513061523,0.0,0.0,-1.0,0.07565011829137802,-0.3113207519054413,-0.09456264972686768,-1.0,-1.0,-1.0,-1.0,46,18,0,0.0
-0.028368793427944183,0.14352941513061523,0.0,0.0,-1.0,0.07801418751478195,-0.3113207519054413,-0.09456264972686768,-1.0,-1.0,-1.0,-1.0,46,18,0,0.0
-0.028368793427944183,0.14352941513061523,0.0,0.0,-1.0,0.07565011829137802,-0.3113207519054413,-0.09456264972686768,-1.0,-1.0,-1.0,-1.0,46,18,0,0.0
-0.028368793427944183,0.14588235318660736,0.0,0.0,-1.0,0.07565011829137802,-0.3113207519054413,-0.09456264972686768,-1.0,-1.0,-1.0,-1.0,46,18,0,0.0
-0.028368793427944183,0.14352941513061523,0.0,0.0,-1.0,0.07565011829137802,-0.3113207519054413,-0.09456264972686768,-1.0,-1.0,-1.0,-1.0,46,18,0,0.0
-0.028368793427944183,0.14352941513061523,0.0,0.0,-1.0,0.07565011829137802,-0.3113207519054413,-0.09456264972686768,-1.0,-1.0,-1.0,-1.0,46,18,0,0.0
-0.02600472792983055,0.14352941513061523,0.0,0.0,-1.0,0.07801418751478195,-0.3113207519054413,-0.09456264972686768,-1.0,-1.0,-1.0,-1.0,46,18,0,0.0
-0.028368793427944183,0.14352941513061523,0.0,0.0,-1.0,0.07565011829137802,-0.3113207519054413,-0.09456264972686768,-1.0,-1.0,-1.0,-1.0,46,18,0,0.0
-0.028368793427944183,0.14352941513061523,0.0,0.0,-1.0,0.07565011829137802,-0.3113207519054413,-0.09456264972686768,-1.0,-1.0,-1.0,-1.0,46,18,0,0.0
-0.028368793427944183,0.14352941513061523,0.0,0.0,-1.0,0.07565011829137802,-0.3113207519054413,-0.09456264972686768,-1.0,-1.0,-1.0,-1.0,46,18,0,0.0
-0.028368793427944183,0.14352941513061523,0.0,0.0,-1.0,0.07801418751478195,-0.3113207519054413,-0.09456264972686768,-1.0,-1.0,-1.0,-1.0,46,18,0,0.0
-0.028368793427944183,0.14352941513061523,0.0,0.0,-1.0,0.07801418751478195,-0.3113207519054413,-0.09456264972686768,-1.0,-1.0,-1.0,-1.0,0,18,0,0.0
-0.028368793427944183,0.14352941513061523,0.0,0.0,-1.0,0.07565011829137802,-0.3113207519054413,-0.09456264972686768,-1.0,-1.0,-1.0,-1.0,46,18,0,0.0
-0.028368793427944183,0.14352941513061523,0.0,0.0,-1.0,0.07565011829137802,-0.3113207519054413,-0.09456264972686768,-1.0,-1.0,-1.0,-1.0,46,18,0,0.0
-0.028368793427944183,0.14352941513061523,0.0,0.0,-1.0,0.07565011829137802,-0.3113207519054413,-0.09456264972686768,-1.0,-1.0,-1.0,-1.0,46,18,0,0.0
-0.028368793427944183,0.14352941513061523,0.0,0.0,-1.0,0.07801418751478195,-0.3113207519054413,-0.09456264972686768,-1.0,-1.0,-1.0,-1.0,46,18,0,0.0
-0.028368793427944183,0.14352941513061523,0.0,0.0,-1.0,0.07565011829137802,-0.3113207519054413,-0.09456264972686768,-1.0,-1.0,-1.0,-1.0,46,18,0,0.0
-0.028368793427944183,0.14588235318660736,0.0,0.0,-1.0,0.07565011829137802,-0.3113207519054413,-0.09456264972686768,-1.0,-1.0,-1.0,-1.0,46,18,0,0.0
-0.028368793427944183,0.14588235318660736,0.0,0.0,-1.0,0.07565011829137802,-0.3113207519054413,-0.09456264972686768,-1.0,-1.0,-1.0,-1.0,46,18,0,0.0
-0.028368793427944183,0.14352941513061523,0.0,0.0,-1.0,0.07565011829137802,-0.3113207519054413,-0.09456264972686768,-1.0,-1.0,-1.0,-1.0,46,18,0,0.0
-0.028368793427944183,0.14352941513061523,0.0,0.0,-1.0,0.07565011829137802,-0.3113207519054413,-0.09456264972686768,-1.0,-1.0,-1.0,-1.0,46,18,0,0.0
-0.028368793427944183,0.14352941513061523,0.0,0.0,-1.0,0.07801418751478195,-0.3113207519054413,-0.09456264972686768,-1.0,-1.0,-1.0,-1.0,46,18,0,0.0
-0.028368793427944183,0.14352941513061523,0.0,0.0,-1.0,0.07565011829137802,-0.3113207519054413,-0.09456264972686768,-1.0,-1.0,-1.0,-1.0,46,18,0,0.0
-0.028368793427944183,0.14588235318660736,0.0,0.0,-1.0,0.07565011829137802,-0.3113207519054413,-0.09456264972686768,-1.0,-1.0,-1.0,-1.0,46,18,0,0.0
-0.028368793427944183,0.14352941513061523,0.0,0.0,-1.0,0.07801418751478195,-0.3113207519054413,-0.08983451873064041,-1.0,-1.0,-1.0,-1.0,46,18,0,0.0
-0.028368793427944183,0.14352941513061523,0.0,0.0,-1.0,0.07565011829137802,-0.3113207519054413,-0.09456264972686768,-1.0,-1.0,-1.0,-1.0,46,18,0,0.0
-0.028368793427944183,0.14352941513061523,0.0,0.0,-1.0,0.07801418751478195,-0.3113207519054413,-0.09456264972686768,-1.0,-1.0,-1.0,-1.0,46,18,0,0.0
-0.028368793427944183,0.14352941513061523,0.0,0.0,-1.0,0.07565011829137802,-0.3113207519054413,-0.09456264972686768,-1.0,-1.0,-1.0,-1.0,46,18,0,0.0
-0.028368793427944183,0.14352941513061523,0.0,0.0,-1.0,0.07801418751478195,-0.3113207519054413,-0.09456264972686768,-1.0,-1.0,-1.0,-1.0,46,18,0,0.0
-0.028368793427944183,0.14352941513061523,0.0,0.0,-1.0,0.07565011829137802,-0.3113207519054413,-0.09456264972686768,-1.0,-1.0,-1.0,-1.0,46,18,0,0.0
-0.028368793427944183,0.14352941513061523,0.0,0.0,-1.0,0.07801418751478195,-0.3113207519054413,-0.09456264972686768,-1.0,-1.0,-1.0,-1.0,46,18,0,0.0
-0.028368793427944183,0.14588235318660736,0.0,0.0,-1.0,0.07565011829137802,-0.3113207519054413,-0.09456264972686768,-1.0,-1.0,-1.0,-1.0,46,18,0,0.0
-0.028368793427944183,0.14352941513061523,0.0,0.0,-1.0,0.07565011829137802,-0.3113207519054413,-0.09456264972686768,-1.0,-1.0,-1.0,-1.0,46,18,0,0.0
-0.028368793427944183,0.14352941513061523,0.0,0.0,-1.0,0.07565011829137802,-0.3113207519054413,-0.09456264972686768,-1.0,-1.0,-1.0,-1.0,46,18,0,0.0
-0.028368793427944183,0.14352941513061523,0.0,0.0,-1.0,0.07801418751478195,-0.3113207519054413,-0.09692671149969101,-1.0,-1.0,-1.0,-1.0,46,18,0,0.0
